PUBCHEM_COMPOUND_CID,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_IUPAC_NAME,PUBCHEM_XLOGP3_AA,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT
174,6,2,2,1,"ethane-1,2-diol",,C2H6O2,62.07,C(CO)O,40.5,0,4
175,25.5,2,0,0,acetate,0.4,C2H3O2-,59.04,CC(=O)[O-],40.1,-1,4
176,31,2,1,0,acetic acid,-0.2,C2H4O2,60.05,CC(=O)O,37.3,0,4
177,10.3,1,0,0,acetaldehyde,-0.3,C2H4O,44.05,CC=O,17.1,0,3
178,33,1,1,0,acetamide,-0.9,C2H5NO,59.07,CC(=O)N,43.1,0,4
179,58.6,2,1,1,3-hydroxybutan-2-one,-0.3,C4H8O2,88.11,CC(C(=O)C)O,37.3,0,6
180,26.3,1,0,0,propan-2-one,-0.1,C3H6O,58.08,CC(=O)C,17.1,0,4
181,1380,22,9,20,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] ethanethioate",,C23H38N7O17P3S,809.6,CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,389,0,51
182,2260,12,6,39,"[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl] [hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate",15.8,C63H105NO12P2,1130.5,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)O)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C,201,0,78
183,2710,17,9,43,"[3-acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl] [hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl] hydrogen phosphate",13.7,C71H118N2O17P2,1333.6,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)NC(=O)C)O)NC(=O)C)C)C)C)C)C)C)C)C)C)C)C,289,0,92
184,460,9,7,6,"4-[[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]amino]-2-amino-4-oxobutanoic acid",-5.7,C12H21N3O8,335.31,CC(=O)NC1C(C(C(OC1NC(=O)CC(C(=O)O)N)CO)O)O,191,0,23
185,225,5,3,5,2-acetamidopentanedioic acid,,C7H11NO5,189.17,CC(=O)NC(CCC(=O)O)C(=O)O,104,0,13
186,133,5,2,2,phosphono acetate,-1.5,C2H5O5P,140.03,CC(=O)OP(=O)(O)O,83.8,0,8
187,115,2,0,4,2-acetyloxyethyl(trimethyl)azanium,0.2,C7H16NO2+,146.21,CC(=O)OCC[N+](C)(C)C,26.3,1,10
188,475,12,7,6,"[3,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl] acetate",-4.2,C14H24O12,384.33,CC(=O)OC1C(C(C(C(O1)CO)OC2C(C(C(C(O2)CO)O)O)O)O)O,196,0,26
189,145,5,2,4,3-acetyloxy-2-aminopropanoic acid,-3.5,C5H9NO4,147.13,CC(=O)OCC(C(=O)O)N,89.6,0,10
190,127,4,2,0,7H-purin-6-amine,,C5H5N5,135.13,C1=NC2=NC=NC(=C2N1)N,80.5,0,10
191,335,8,4,2,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",,C10H13N5O4,267.24,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,140,0,19
192,876,18,8,9,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (3,4,5-trihydroxyoxolan-2-yl)methyl hydrogen phosphate",,C15H23N5O14P2,559.32,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)O)O)O)O)O)N,292,0,36
193,504,11,5,7,"2-amino-4-[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methylsulfanyl]butanoic acid",,C14H20N6O5S,384.41,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CSCCC(C(=O)O)N)O)O)N,208,0,26
194,1410,27,10,14,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl] hydrogen phosphate",,C20H28N10O19P4,836.4,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)N,434,0,53
195,725,15,7,9,"2-[[9-[3,4-dihydroxy-5-(phosphonooxymethyl)oxolan-2-yl]purin-6-yl]amino]butanedioic acid",,C14H18N5O11P,463.29,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)NC(CC(=O)O)C(=O)O,247,0,31
196,114,4,2,5,hexanedioic acid,,C6H10O4,146.14,C(CCC(=O)O)CC(=O)O,74.6,0,10
197,637,14,6,6,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",,C10H15N5O10P2,427.20,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,233,0,27
198,924,19,9,9,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] hydrogen phosphate",,C16H25N5O15P2,589.3,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N,312,0,38
199,85,2,3,4,2-(4-aminobutyl)guanidine,-1.5,C5H14N4,130.19,C(CCN=C(N)N)CN,90.4,0,9
200,475,10,6,5,"[5-(5-amino-4-carbamoylimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",-3.8,C9H15N4O8P,338.21,C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)N,203,0,22
201,1160,7,3,23,"3,7,11,15,19,23,27-heptamethyloctacosa-2,6,10,14,18,22,26-heptaenyl phosphono hydrogen phosphate",10,C35H60O7P2,654.8,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C)C,113,0,44
202,1010,7,3,20,"3,7,11,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaenyl phosphono hydrogen phosphate",8.1,C30H52O7P2,586.7,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCOP(=O)(O)OP(=O)(O)O)C)C)C)C)C)C,113,0,39
203,199,4,5,3,"2,2-bis(carbamoylamino)acetic acid",-2.6,C4H8N4O4,176.13,C(C(=O)O)(NC(=O)N)NC(=O)N,148,0,12
204,225,3,4,1,"(2,5-dioxoimidazolidin-4-yl)urea",-2.2,C4H6N4O3,158.12,C1(C(=O)NC(=O)N1)NC(=O)N,113,0,11
205,93.3,4,3,2,2-amino-3-hydroxybutanoic acid,,C4H9NO3,119.12,CC(C(C(=O)O)N)O,83.6,0,8
206,151,6,5,1,"6-(hydroxymethyl)oxane-2,3,4,5-tetrol",-2.6,C6H12O6,180.16,C(C1C(C(C(C(O1)O)O)O)O)O,110,0,12
207,124,4,2,5,2-amino-6-oxohexanoic acid,,C6H11NO3,145.16,C(CC=O)CC(C(=O)O)N,80.4,0,10
208,277,9,6,3,"(3,4,5,6-tetrahydroxyoxan-2-yl)methyl dihydrogen phosphate",-4.2,C6H13O9P,260.14,C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O,157,0,16
209,1870,26,18,21,"5-acetamido-2-[2-[5-acetamido-6-[5-acetamido-6-[(3-acetamido-4-amino-4-oxobutanoyl)amino]-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",-11.1,C39H64N6O26,1032.9,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OC2C(C(OC(C2O)OC3C(OC(C(C3O)NC(=O)C)OC4C(OC(C(C4O)NC(=O)C)NC(=O)CC(C(=O)N)NC(=O)C)CO)CO)CO)O)O,513,0,71
210,1050,19,13,12,"5-acetamido-2-[[6-[5-acetamido-4,6-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,4,5-trihydroxyoxan-2-yl]methoxy]-4-hydroxy-6-(1,2,3-trihydroxypropyl)oxane-2-carboxylic acid",-7.8,C25H42N2O19,674.6,CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)OCC2C(C(C(C(O2)OC3C(OC(C(C3O)NC(=O)C)O)CO)O)O)O)O,344,0,46
211,356,5,3,2,"2-(5,6-dimethylbenzimidazol-1-yl)-5-(hydroxymethyl)oxolane-3,4-diol",0.6,C14H18N2O4,278.30,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)O)O,87.7,0,20
212,504,8,4,4,"[5-(5,6-dimethylbenzimidazol-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",-1.1,C14H19N2O7P,358.28,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O,134,0,24
213,459,5,2,12,"7-[3-(3-hydroxyoct-1-enyl)-2,6-dioxabicyclo[3.1.1]heptan-4-yl]hept-5-enoic acid",3.4,C20H32O5,352.5,CCCCCC(C=CC1C(C2CC(O2)O1)CC=CCCCC(=O)O)O,76,0,25
214,432,5,3,13,7-[3-hydroxy-2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]heptanoic acid,,C20H34O5,354.5,CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O,94.8,0,25
215,42.2,2,1,1,1-aminopropan-2-one,-1,C3H7NO,73.09,CC(=O)CN,43.1,0,5
216,233,7,3,3,(4-amino-2-methylpyrimidin-5-yl)methyl dihydrogen phosphate,-1.7,C6H10N3O4P,219.14,CC1=NC=C(C(=N1)N)COP(=O)(O)O,119,0,14
217,374,10,4,5,(4-amino-2-methylpyrimidin-5-yl)methyl phosphono hydrogen phosphate,-2.8,C6H11N3O7P2,299.12,CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O,165,0,18
219,120,4,2,2,2-amino-3-oxobutanoic acid,-3.4,C4H7NO3,117.10,CC(=O)C(C(=O)O)N,80.4,0,8
220,234,5,1,6,4-diethoxyphosphinothioyloxyaniline,,C10H16NO3PS,261.28,CCOP(=S)(OCC)OC1=CC=C(C=C1)N,85.8,0,16
221,398,8,8,6,"5-amino-6-(2,3,4,5-tetrahydroxypentylamino)-1H-pyrimidine-2,4-dione",-3.2,C9H16N4O6,276.25,C(C(C(C(CO)O)O)O)NC1=C(C(=O)NC(=O)N1)N,177,0,19
222,0,1,1,0,azane,-0.7,H3N,17.031,N,1,0,1
223,0,0,1,0,azanium,-0.7,H4N+,18.039,[NH4+],1,1,1
224,481,11,5,4,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate",,C10H14N5O7P,347.22,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N,186,0,23
225,458,2,1,0,"3-hydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-17-one",,C19H30O2,290.4,CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O,37.3,0,21
226,17.5,2,2,0,amino(phosphanyl)methanol,-1.5,CH6NOP,79.038,C(N)(O)P,46.3,0,4
227,136,3,2,1,2-aminobenzoic acid,,C7H7NO2,137.14,C1=CC=C(C(=C1)C(=O)O)N,63.3,0,10
228,692,14,5,6,"[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl sulfo hydrogen phosphate",,C10H14N5O10PS,427.29,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OS(=O)(=O)O)O)O)N,238,0,27
229,117,5,4,0,"oxane-2,3,4,5-tetrol",-2.5,C5H10O5,150.13,C1C(C(C(C(O1)O)O)O)O,90.2,0,10
230,224,8,5,6,"(2,3,4-trihydroxy-5-oxopentyl) dihydrogen phosphate",,C5H11O8P,230.11,C(C(C(C(C=O)O)O)O)OP(=O)(O)O,145,0,14
231,362,2,1,14,"icosa-5,8,11,14-tetraenoic acid",6.3,C20H32O2,304.5,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,37.3,0,22
232,176,4,4,5,2-amino-5-(diaminomethylideneamino)pentanoic acid,,C6H14N4O2,174.20,C(CC(C(=O)O)N)CN=C(N)N,128,0,12
233,46.5,4,1,0,hydrogen arsorate,,AsHO4-2,139.927,O[As](=O)([O-])[O-],83.4,-2,5
234,49.8,4,3,0,arsoric acid,,AsH3O4,141.943,O[As](=O)(O)O,77.8,0,5
236,134,4,3,3,"2,4-diamino-4-oxobutanoic acid",,C4H8N2O3,132.12,C(C(C(=O)O)N)C(=O)N,106,0,9
237,461,4,1,9,"4-N-(6-chloro-2-methoxyacridin-9-yl)-1-N,1-N-diethylpentane-1,4-diamine",6,C23H30ClN3O,400.0,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC,37.4,0,28
238,800,17,7,8,"[[5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate",,C10H16N5O13P3,507.18,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,279,0,31
239,52.8,3,2,2,3-aminopropanoic acid,,C3H7NO2,89.09,C(CN)C(=O)O,63.3,0,6
240,72.5,1,0,1,benzaldehyde,,C7H6O,106.12,C1=CC=C(C=C1)C=O,17.1,0,8
241,15.5,0,0,0,benzene,,C6H6,78.11,C1=CC=CC=C1,0,0,6
242,98,2,0,0,benzoate,,C7H5O2-,121.11,C1=CC=C(C=C1)C(=O)[O-],40.1,-1,9
243,103,2,1,1,benzoic acid,,C7H6O2,122.12,C1=CC=C(C=C1)C(=O)O,37.3,0,9
244,55.4,1,1,1,phenylmethanol,,C7H8O,108.14,C1=CC=C(C=C1)CO,20.2,0,8
245,480,11,8,5,"N-[2,4-dihydroxy-6-(hydroxymethyl)-5-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-3-yl]acetamide",-4.7,C14H25NO11,383.35,CC(=O)NC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O,198,0,26
246,668,5,1,2,"(10,13-dimethyl-17-oxo-1,2,3,4,5,6,7,8,9,11,12,14,15,16-tetradecahydrocyclopenta[a]phenanthren-3-yl) hydrogen sulfate",,C19H30O5S,370.5,CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OS(=O)(=O)O,89.1,0,25
247,87.6,2,0,1,2-(trimethylazaniumyl)acetate,0.5,C5H11NO2,117.15,C[N+](C)(C)CC(=O)[O-],40.1,0,8
248,93.1,2,1,2,carboxymethyl(trimethyl)azanium,-0.1,C5H12NO2+,118.15,C[N+](C)(C)CC(=O)O,37.3,1,8
249,63,1,0,2,trimethyl(2-oxoethyl)azanium,-0.2,C5H12NO+,102.15,C[N+](C)(C)CC=O,17.1,1,7
250,1340,6,6,12,3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methyl]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-3-yl]propanoic acid,2.9,C33H36N4O6,584.7,CC1=C(NC(=C1CCC(=O)O)CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)C=C4C(=C(C(=O)N4)C=C)C,164,0,43
251,1530,7,5,11,3-[2-[[3-(2-carboxyethyl)-5-[(3-ethenyl-4-methyl-5-oxopyrrol-2-ylidene)methyl]-4-methyl-1H-pyrrol-2-yl]methylidene]-5-[(4-ethenyl-3-methyl-5-oxopyrrol-2-yl)methylidene]-4-methylpyrrol-3-yl]propanoic acid,2.5,C33H34N4O6,582.6,CC1=C(C(=CC2=C(C(=C(N2)C=C3C(=C(C(=O)N3)C)C=C)C)CCC(=O)O)NC1=CC4=NC(=O)C(=C4C)C=C)CCC(=O)O,161,0,43
253,298,4,3,5,"5-(2-oxo-1,3,3a,4,6,6a-hexahydrothieno[3,4-d]imidazol-4-yl)pentanoic acid",0.3,C10H16N2O3S,244.31,C1C2C(C(S1)CCCCC(=O)O)NC(=O)N2,104,0,16
254,175,2,2,1,"3-phenylbenzene-1,2-diol",,C12H10O2,186.21,C1=CC=C(C=C1)C2=C(C(=CC=C2)O)O,40.5,0,14
255,434,8,1,4,bis(4-nitrophenyl) hydrogen phosphate,,C12H9N2O8P,340.18,C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-],147,0,23
256,1890,20,11,60,[5-hydroxy-2-[[3-hydroxy-5-(3-hydroxytetradecanoylamino)-4-(3-hydroxytetradecanoyloxy)-6-phosphonooxyoxan-2-yl]methoxy]-6-(hydroxymethyl)-3-(3-hydroxytetradecanoylamino)oxan-4-yl] 3-hydroxytetradecanoate,16,C68H129N2O20P,1325.7,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OCC2C(C(C(C(O2)OP(=O)(O)O)NC(=O)CC(CCCCCCCCCCC)O)OC(=O)CC(CCCCCCCCCCC)O)O)CO)O)OC(=O)CC(CCCCCCCCCCC)O)O,347,0,91
257,890,12,7,30,[3-hydroxy-2-(hydroxymethyl)-5-(3-hydroxytetradecanoylamino)-6-phosphonooxyoxan-4-yl] 3-hydroxytetradecanoate,7.2,C34H66NO12P,711.9,CCCCCCCCCCCC(CC(=O)NC1C(C(C(OC1OP(=O)(O)O)CO)O)OC(=O)CC(CCCCCCCCCCC)O)O,212,0,48
258,795,7,6,9,"3-[[3-amino-5-[carbamimidoyl(methyl)amino]pentanoyl]amino]-6-(4-amino-2-oxopyrimidin-1-yl)-3,6-dihydro-2H-pyran-2-carboxylic acid",-5.2,C17H26N8O5,422.4,CN(CCC(CC(=O)NC1C=CC(OC1C(=O)O)N2C=CC(=NC2=O)N)N)C(=N)N,213,0,30
259,0,1,0,0,bromide,1,Br-,79.90,[Br-],0,-1,1
260,0,0,1,0,bromane,1,BrH,80.91,Br,0,0,1
261,24.8,1,0,2,butanal,,C4H8O,72.11,CCCC=O,17.1,0,5
262,30.5,2,2,1,"butane-2,3-diol",,C4H10O2,90.12,CC(C(C)O)O,40.5,0,6
263,13.1,1,1,2,butan-1-ol,,C4H10O,74.12,CCCCO,20.2,0,5
264,49.5,2,1,2,butanoic acid,,C4H8O2,88.11,CCCC(=O)O,37.3,0,6
265,1410,22,9,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] butanethioate",,C25H42N7O17P3S,837.6,CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,389,0,53
266,159,5,2,4,phosphono butanoate,-0.7,C4H9O5P,168.08,CCCC(=O)OP(=O)(O)O,83.8,0,10
267,2440,29,17,31,"6-[[4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",-10.8,C41H65N9O28P2,1193.9,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,573,0,80
268,2300,27,16,30,"4-[2-[2-[3-acetamido-2-[[[5-(2,4-dioxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-5-[[6-amino-1-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-1-oxohexan-2-yl]amino]-5-oxopentanoic acid",-10.4,C40H65N9O26P2,1149.9,CC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C,536,0,77
269,3740,24,14,60,"6-[[4-[2-[2-[3-acetamido-5-hydroxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",11.7,C87H143N7O23P2,1717.0,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C,474,0,119
270,4220,29,17,64,"6-[[4-[2-[2-[3-acetamido-5-[3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2-[hydroxy-[hydroxy(3,7,11,15,19,23,27,31,35,39,43-undecamethyltetratetraconta-2,6,10,14,18,22,26,30,34,38,42-undecaenoxy)phosphoryl]oxyphosphoryl]oxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoylamino]propanoylamino]-4-carboxybutanoyl]amino]-2-amino-7-[[1-(1-carboxyethylamino)-1-oxopropan-2-yl]amino]-7-oxoheptanoic acid",9.5,C95H156N8O28P2,1920.2,CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C,562,0,133
271,0,0,0,0,calcium(2+),,Ca+2,40.08,[Ca+2],0,2,1
273,25.3,2,2,4,"pentane-1,5-diamine",-0.6,C5H14N2,102.18,C(CCN)CCN,52,0,7
274,498,10,3,1,"6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",-2.6,C10H12N5O6P,329.21,C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O,155,0,22
275,178,5,4,5,2-amino-4-(diaminomethylideneamino)oxybutanoic acid,,C5H12N4O3,176.17,C(CON=C(N)N)C(C(=O)O)N,137,0,12
276,27.5,2,1,0,carbamate,-0.1,CH2NO2-,60.032,C(=O)(N)[O-],66.2,-1,4
277,33,2,2,0,carbamic acid,-0.8,CH3NO2,61.040,C(=O)(N)O,63.3,0,4
278,135,5,3,2,phosphono carbamate,-2.1,CH4NO5P,141.02,C(=O)(N)OP(=O)(O)O,110,0,8
279,214,5,4,4,2-(carbamoylamino)butanedioic acid,-1.9,C5H8N2O5,176.13,C(C(C(=O)O)NC(=O)N)C(=O)O,130,0,12
280,18.3,2,0,0,carbon dioxide,0.9,CO2,44.009,C(=O)=O,34.1,0,3
281,10,1,0,0,carbon monoxide,0.7,CO,28.010,[C-]#[O+],1,0,2
282,254,4,3,3,"3-(5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoic acid",-0.7,C9H12O4,184.19,C1=CC(C(C(=C1)CCC(=O)O)O)O,77.8,0,13
283,7.5,2,0,0,formate,0.5,CHO2-,45.017,C(=O)[O-],40.1,-1,3
284,10.3,2,1,0,formic acid,-0.2,CH2O2,46.025,C(=O)O,37.3,0,3
285,47.2,4,1,1,2-aminooxyacetate,-2.7,C2H4NO3-,90.06,C(C(=O)[O-])ON,75.4,-1,6
286,52.8,4,2,2,2-aminooxyacetic acid,-3.4,C2H5NO3,91.07,C(C(=O)O)ON,72.6,0,6
287,465,10,6,9,"2-[(3,4-dihydroxy-2-oxo-5-phosphonooxypentyl)amino]benzoic acid",-1.3,C12H16NO9P,349.23,C1=CC=C(C(=C1)C(=O)O)NCC(=O)C(C(COP(=O)(O)O)O)O,174,0,23
288,134,3,1,3,3-hydroxy-4-(trimethylazaniumyl)butanoate,-0.2,C7H15NO3,161.20,C[N+](C)(C)CC(CC(=O)[O-])O,60.4,0,11
289,62.9,2,2,0,"benzene-1,2-diol",,C6H6O2,110.11,C1=CC=C(C(=C1)O)O,40.5,0,8
290,690,11,6,6,"[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate",,C9H15N3O11P2,403.18,C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)O)O)O,222,0,25
