PUBCHEM_COMPOUND_CID,PUBCHEM_CACTVS_COMPLEXITY,PUBCHEM_CACTVS_HBOND_ACCEPTOR,PUBCHEM_CACTVS_HBOND_DONOR,PUBCHEM_CACTVS_ROTATABLE_BOND,PUBCHEM_IUPAC_NAME,PUBCHEM_XLOGP3_AA,PUBCHEM_MOLECULAR_FORMULA,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_CACTVS_TPSA,PUBCHEM_TOTAL_CHARGE,PUBCHEM_HEAVY_ATOM_COUNT
88,1450,23,10,22,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylpropanethioate",-5.8,C25H42N7O18P3S,853.6,CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,409,0,54
89,282,6,4,4,2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid,-2.5,C10H12N2O4,224.21,C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N,127,0,16
90,1580,25,11,25,"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-hydroxy-6-oxohexanoic acid",-6.5,C27H44N7O20P3S,911.7,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O,446,0,58
91,156,3,2,3,3-(3-hydroxyphenyl)propanoic acid,,C9H10O3,166.17,C1=CC(=CC(=C1)O)CCC(=O)O,57.5,0,12
92,501,5,2,4,3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol,,C20H24N2O3,340.4,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O,65.8,0,25
93,183,5,2,5,3-oxohexanedioic acid,-0.9,C6H8O5,160.12,C(CC(=O)O)C(=O)CC(=O)O,91.7,0,11
94,1630,25,10,25,"6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4,6-dioxohexanoic acid",-6.4,C27H42N7O20P3S,909.6,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O)O,443,0,58
95,201,7,5,5,"2,4,5,6-tetrahydroxy-3-oxohexanoic acid",-2.8,C6H10O7,194.14,C(C(C(C(=O)C(C(=O)O)O)O)O)O,135,0,13
96,95.1,3,1,2,3-oxobutanoic acid,-0.4,C4H6O3,102.09,CC(=O)CC(=O)O,54.4,0,7
97,418,11,7,4,"3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one",-4.3,C12H20O11,340.28,C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O,186,0,23
98,98.4,4,2,2,2-oxo-3-sulfanylpropanoic acid,0,C3H4O3S,120.13,C(C(=O)C(=O)O)S,55.4,0,7
99,1500,22,9,21,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-methylbut-2-enethioate",,C26H42N7O17P3S,849.6,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C,389,0,54
100,1240,3,2,24,"4-hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid",16,C47H70O3,683.1,CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C,57.5,0,50
101,101,2,1,1,3-hydroxybenzaldehyde,,C7H6O2,122.12,C1=CC(=CC(=C1)O)C=O,37.3,0,9
102,83,2,2,1,3-(hydroxymethyl)phenol,,C7H8O2,124.14,C1=CC(=CC(=C1)O)CO,40.5,0,9
103,2260,25,11,24,"S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 4-(7,12-dihydroxy-10,13-dimethyl-3-oxo-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanethioate",-2.3,C45H72N7O20P3S,1156.1,CC(CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(=O)C7)C)O)O)C,446,0,76
104,204,4,1,2,2-(2-oxo-3H-furan-5-yl)acetic acid,-0.3,C6H6O4,142.11,C1C=C(OC1=O)CC(=O)O,63.6,0,10
105,214,7,3,4,2-oxo-3-phosphonooxypropanoic acid,-2.1,C3H5O7P,184.04,C(C(=O)C(=O)O)OP(=O)(O)O,121,0,11
106,186,7,4,4,2-amino-3-phosphonooxypropanoic acid,-5.1,C3H8NO6P,185.07,C(C(C(=O)O)N)OP(=O)(O)O,130,0,11
107,126,2,1,3,3-phenylpropanoic acid,,C9H10O2,150.17,C1=CC=C(C=C1)CCC(=O)O,37.3,0,11
108,125,3,1,2,2-pyridin-3-ylacetic acid,,C7H7NO2,137.14,C1=CC(=CN=C1)CC(=O)O,50.2,0,10
109,136,6,3,3,2-amino-3-sulfinopropanoic acid,-4.2,C3H7NO4S,153.16,C(C(C(=O)O)N)S(=O)O,120,0,9
110,162,6,2,3,2-oxo-3-sulfinopropanoic acid,-1,C3H4O5S,152.13,C(C(=O)C(=O)O)S(=O)O,111,0,9
111,123,3,3,3,3-(carbamoylamino)propanoic acid,-1.5,C4H8N2O3,132.12,C(CNC(=O)N)C(=O)O,92.4,0,9
112,247,8,3,4,3-hydroxy-2-oxo-4-phosphonooxybutanoate,-2.1,C4H6O8P-,213.06,C(C(C(=O)C(=O)[O-])O)OP(=O)(O)O,144,-1,13
113,253,8,4,5,3-hydroxy-2-oxo-4-phosphonooxybutanoic acid,-2.7,C4H7O8P,214.07,C(C(C(=O)C(=O)O)O)OP(=O)(O)O,141,0,13
114,147,3,1,4,4-pyridin-3-ylbutanoic acid,,C9H11NO2,165.19,C1=CC(=CN=C1)CCCC(=O)O,50.2,0,12
115,242,8,5,2,"(5-amino-3,4-dihydroxyoxan-2-yl) dihydrogen phosphate",-6.2,C5H12NO7P,229.13,C1C(C(C(C(O1)OP(=O)(O)O)O)O)N,142,0,14
