cid,name,canonical_smiles,molecular_formula,molecular_weight,h_bond_donors,h_bond_acceptors,rotatable_bonds,topological_psa,logp,heavy_atom_count,murcko_scaffold,functional_groups,rdkit_mol,num_rings,degree_of_unsaturation,rdkit_atom_counts,lipinski_pass,veber_pass
3143891,"5-(1,3-benzodioxol-5-yl)-N-[(1,5-dimethylpyrazol-4-yl)methyl]-7-(trifluoromethyl)-4,5,6,7-tetrahydropyrazolo[1,5-a]pyrimidine-2-carboxamide",CC1=C(C=NN1C)CNC(=O)C2=NN3C(CC(NC3=C2)C4=CC5=C(C=C4)OCO5)C(F)(F)F,C21H21F3N6O3,462.4,2,9,4,95.2,2.9,33,O=C(NCc1cn[nH]c1)c1cc2n(n1)CCC(c1ccc3c(c1)OCO3)N2,"{'secondary_amine': 1, 'secondary_amide': 1, 'ether': 2, 'fluoride': 3, 'benzene': 1}",,5,13,"{'C': 21, 'H': 21, 'F': 3, 'N': 6, 'O': 3}",True,True
7336274,"2-[(2R,6S)-2-(4-chlorophenyl)-4-thiophen-2-yl-1,2,5,6-tetrahydropyrimidin-6-yl]phenol",C1C(NC(N=C1C2=CC=CS2)C3=CC=C(C=C3)Cl)C4=CC=CC=C4O,C20H17ClN2OS,368.9,2,4,3,72.9,4.5,25,c1ccc(C2CC(c3cccs3)=NC(c3ccccc3)N2)cc1,"{'secondary_amine': 1, 'imine': 1, 'phenol': 1, 'chloride': 1, 'benzene': 2, 'thiophene': 1}",,4,13,"{'C': 20, 'H': 17, 'Cl': 1, 'N': 2, 'O': 1, 'S': 1}",True,True
7806805,"[2-[(6-acetyl-1,3-benzodioxol-5-yl)amino]-2-oxoethyl] (2R)-2-phenylsulfanylpropanoate",CC(C(=O)OCC(=O)NC1=CC2=C(C=C1C(=O)C)OCO2)SC3=CC=CC=C3,C20H19NO6S,401.4,1,7,8,116.0,3.7,28,O=C(COC(=O)CSc1ccccc1)Nc1ccc2c(c1)OCO2,"{'secondary_amide': 1, 'ester': 1, 'ketone': 3, 'ether': 2, 'sulfide': 1, 'benzene': 2}",,3,12,"{'C': 20, 'H': 19, 'N': 1, 'O': 6, 'S': 1}",True,True
16956910,"N-[(4-methylphenyl)methyl]-2-[2-(4-methylphenyl)-4-oxopyrazolo[1,5-a]pyrazin-5-yl]acetamide",CC1=CC=C(C=C1)CNC(=O)CN2C=CN3C(=CC(=N3)C4=CC=C(C=C4)C)C2=O,C23H22N4O2,386.4,1,3,5,67.2,3.1,29,O=C(Cn1ccn2nc(-c3ccccc3)cc2c1=O)NCc1ccccc1,"{'tertiary_amine': 1, 'secondary_amide': 1, 'benzene': 2}",,4,15,"{'C': 23, 'H': 22, 'N': 4, 'O': 2}",True,True
890400,3-(4-methoxyphenyl)-N-(2-methylphenyl)benzamide,CC1=CC=CC=C1NC(=O)C2=CC=CC(=C2)C3=CC=C(C=C3)OC,C21H19NO2,317.4,1,2,4,38.3,4.3,24,O=C(Nc1ccccc1)c1cccc(-c2ccccc2)c1,"{'secondary_amide': 1, 'ether': 1, 'benzene': 3}",,3,13,"{'C': 21, 'H': 19, 'N': 1, 'O': 2}",True,True
6671885,"(2R,3S,4S)-2-ethoxy-4-(9H-fluoren-1-yl)-3-[2-[2-(2-hydroxyethoxy)ethoxy]ethyl]-N-[3-(2-oxopyrrolidin-1-yl)propyl]-3,4-dihydro-2H-pyran-6-carboxamide",CCOC1C(C(C=C(O1)C(=O)NCCCN2CCCC2=O)C3=CC=CC4=C3CC5=CC=CC=C54)CCOCCOCCO,C34H44N2O7,592.7,2,7,16,107.0,3.3,43,O=C(NCCCN1CCCC1=O)C1=CC(c2cccc3c2Cc2ccccc2-3)CCO1,"{'secondary_amide': 1, 'tertiary_amide': 1, 'primary_alcohol': 1, 'ether': 4, 'benzene': 2, 'alkene': 1}",,5,14,"{'C': 34, 'H': 44, 'N': 2, 'O': 7}",False,False
14076750,"[(2R,3R)-5-[(2S)-2-[2-(3,4-dimethoxyphenyl)ethyl-methylamino]propyl]-2-(4-methoxyphenyl)-4-oxo-2,3-dihydro-1,5-benzothiazepin-3-yl] acetate;hydrochloride",CC(CN1C2=CC=CC=C2SC(C(C1=O)OC(=O)C)C3=CC=C(C=C3)OC)N(C)CCC4=CC(=C(C=C4)OC)OC.Cl,C32H39ClN2O6S,615.2,1,8,12,103.0,,42,O=C1CC(c2ccccc2)Sc2ccccc2N1CCNCCc1ccccc1,"{'tertiary_amine': 1, 'tertiary_amide': 1, 'ester': 1, 'ketone': 1, 'ether': 3, 'sulfide': 1, 'chloride': 1, 'benzene': 3}",,4,14,"{'C': 32, 'H': 39, 'Cl': 1, 'N': 2, 'O': 6, 'S': 1}",,False
7396760,"1-benzyl-4-[(1R)-1-[1-(furan-2-ylmethyl)tetrazol-5-yl]propyl]piperazine-1,4-diium",CCC(C1=NN=NN1CC2=CC=CO2)[NH+]3CC[NH+](CC3)CC4=CC=CC=C4,C20H28N6O+2,368.5,2,4,7,65.6,2.4,27,c1ccc(C[NH+]2CC[NH+](Cc3nnnn3Cc3ccco3)CC2)cc1,"{'benzene': 1, 'furan': 1}",,4,10,"{'C': 20, 'H': 28, 'N': 6, 'O': 1}",True,True
15072955,"ethyl 2-[2-[[(1S,2R,3R,4R)-3-(hydroxymethyl)-7-oxabicyclo[2.2.1]heptan-2-yl]methyl]phenoxy]acetate",CCOC(=O)COC1=CC=CC=C1CC2C3CCC(C2CO)O3,C18H24O5,320.4,1,5,8,65.0,2.5,23,c1ccc(CC2CC3CCC2O3)cc1,"{'primary_alcohol': 1, 'ester': 1, 'ketone': 1, 'ether': 2, 'benzene': 1}",,3,7,"{'C': 18, 'H': 24, 'O': 5}",True,True
9334532,"7-bromo-2-[[[(1S)-1-(4-chlorophenyl)ethyl]amino]methyl]pyrido[1,2-a]pyrimidin-4-one",CC(C1=CC=C(C=C1)Cl)NCC2=CC(=O)N3C=C(C=CC3=N2)Br,C17H15BrClN3O,392.7,1,3,4,44.7,2.4,23,O=c1cc(CNCc2ccccc2)nc2ccccn12,"{'secondary_amine': 1, 'tertiary_amine': 1, 'chloride': 1, 'bromide': 1, 'benzene': 1, 'pyridine': 1}",,3,11,"{'C': 17, 'H': 15, 'Br': 1, 'Cl': 1, 'N': 3, 'O': 1}",True,True
218063,"1-(4-aminophenyl)-4,4-dimethyl-1,2-dihydroisoquinolin-3-one",CC1(C2=CC=CC=C2C(NC1=O)C3=CC=C(C=C3)N)C,C17H18N2O,266.34,2,2,1,55.1,2.7,20,O=C1Cc2ccccc2C(c2ccccc2)N1,"{'primary_amine': 1, 'secondary_amide': 1, 'benzene': 2}",,3,10,"{'C': 17, 'H': 18, 'N': 2, 'O': 1}",True,True
5357278,"[(Z)-[cyclopropyl-(2,4-dimethylphenyl)methylidene]amino]thiourea",CC1=CC(=C(C=C1)C(=NNC(=S)N)C2CC2)C,C13H17N3S,247.36,2,2,3,82.5,2.6,17,N=C(c1ccccc1)C1CC1,"{'primary_amine': 1, 'imine': 1, 'benzene': 1}",,2,7,"{'C': 13, 'H': 17, 'N': 3, 'S': 1}",True,True
14180587,"[8-chloro-6-(2-methylpropanoyloxy)-3,4-dihydro-2H-benzo[h][1,5]benzodioxepin-11-yl] 2-methylpropanoate",CC(C)C(=O)OC1=C2C(=C(C3=C1C=CC(=C3)Cl)OC(=O)C(C)C)OCCCO2,C21H23ClO6,406.9,0,6,6,71.1,5.5,28,c1ccc2cc3c(cc2c1)OCCCO3,"{'ester': 2, 'ketone': 2, 'ether': 2, 'chloride': 1, 'benzene': 2}",,3,10,"{'C': 21, 'H': 23, 'Cl': 1, 'O': 6}",False,True
11416913,[(E)-2-ethyl-4-(6-ethyl-4-hydroxy-7-methyl-3-oxo-1H-2-benzofuran-5-yl)but-2-enyl]phosphonic acid,CCC1=C(C(=C2C(=C1C)COC2=O)O)CC=C(CC)CP(=O)(O)O,C17H23O6P,354.3,3,6,6,104.0,2.7,24,O=C1OCc2ccccc21,"{'phenol': 1, 'lactone': 1, 'ketone': 1, 'benzene': 1, 'alkene': 1}",,2,6,"{'C': 17, 'H': 23, 'O': 6, 'P': 1}",True,True
9323816,tert-butyl N-[4-[[[2-(2-fluorophenoxy)acetyl]amino]carbamoyl]phenyl]carbamate,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C(=O)NNC(=O)COC2=CC=CC=C2F,C20H22FN3O5,403.4,3,6,7,106.0,3.1,29,O=C(COc1ccccc1)NNC(=O)c1ccccc1,"{'secondary_amide': 3, 'carbamate': 1, 'ether': 1, 'fluoride': 1, 'benzene': 2}",,2,11,"{'C': 20, 'H': 22, 'F': 1, 'N': 3, 'O': 5}",True,True
5217027,"N-[2-(dimethylamino)ethyl]-2-[[(2-fluorophenyl)carbamoyl-(2-methoxyethyl)amino]methyl]-1,3-thiazole-4-carboxamide",CN(C)CCNC(=O)C1=CSC(=N1)CN(CCOC)C(=O)NC2=CC=CC=C2F,C19H26FN5O3S,423.5,2,7,10,115.0,1.3,29,O=C(NCc1nccs1)Nc1ccccc1,"{'tertiary_amine': 1, 'secondary_amide': 2, 'tertiary_amide': 1, 'ether': 1, 'fluoride': 1, 'benzene': 1}",,2,9,"{'C': 19, 'H': 26, 'F': 1, 'N': 5, 'O': 3, 'S': 1}",True,True
7224731,(2S)-1-(2-ethoxyphenoxy)-3-(ethylamino)propan-2-ol,CCNCC(COC1=CC=CC=C1OCC)O,C13H21NO3,239.31,2,4,8,50.7,1.6,17,c1ccccc1,"{'secondary_amine': 1, 'primary_alcohol': 1, 'secondary_alcohol': 2, 'ether': 2, 'benzene': 1}",,1,4,"{'C': 13, 'H': 21, 'N': 1, 'O': 3}",True,True
11294239,benzyl N-[(2R)-5-bromo-1-hydroxypentan-2-yl]-N-(phenylmethoxycarbonylamino)carbamate,C1=CC=C(C=C1)COC(=O)NN(C(CCCBr)CO)C(=O)OCC2=CC=CC=C2,C21H25BrN2O5,465.3,2,5,11,88.1,3.9,29,O=C(NNC(=O)OCc1ccccc1)OCc1ccccc1,"{'secondary_amide': 1, 'tertiary_amide': 1, 'carbamate': 2, 'primary_alcohol': 1, 'bromide': 1, 'benzene': 2}",,2,10,"{'C': 21, 'H': 25, 'Br': 1, 'N': 2, 'O': 5}",True,False
3429608,"6-[2-(4-hydroxy-3,5-dimethoxyphenyl)ethenyl]-2,8-bis(4-iodophenyl)-3a,4,6,6a,9a,10,10a,10b-octahydroisoindolo[5,6-e]isoindole-1,3,7,9-tetrone",COC1=CC(=CC(=C1O)OC)C=CC2C3C(CC4C2=CCC5C4C(=O)N(C5=O)C6=CC=C(C=C6)I)C(=O)N(C3=O)C7=CC=C(C=C7)I,C36H30I2N2O7,856.4,1,7,6,113.0,5.2,47,O=C1C2CC3C(=CCC4C(=O)N(c5ccccc5)C(=O)C43)C(C=Cc3ccccc3)C2C(=O)N1c1ccccc1,"{'tertiary_amide': 4, 'phenol': 1, 'ether': 2, 'iodide': 2, 'benzene': 3, 'alkene': 2}",,7,22,"{'C': 36, 'H': 30, 'I': 2, 'N': 2, 'O': 7}",False,True
